"BusinessYear","StateCode","IssuerId","SourceName","ImportDate","ServiceAreaId","ServiceAreaName","CoverEntireState","County","PartialCounty","ZipCodes","PartialCountyJustification","MarketCoverage","DentalOnlyPlan"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS001","Alaska Premier","Yes",,,,,"Individual","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS001","Alaska Premier","Yes",,,,,"SHOP (Small Group)","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02020","No",,,"SHOP (Small Group)","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02020","No",,,"Individual","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02090","No",,,"Individual","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02090","No",,,"SHOP (Small Group)","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02170","No",,,"SHOP (Small Group)","Yes"
"2022","AK","21989","HIOS","2021-08-19 15:35:03","AKS002","Alaska PPO","No","02170","No",,,"Individual","Yes"
"2022","AK","38344","HIOS","2021-10-01 12:34:54","AKS001","PBCBSAK Individual Legacy","Yes",,,,,"Individual","No"
"2022","AK","74819","HIOS","2021-07-17 01:02:29","AKS001","BEST Life Alaska","Yes",,,,,"Individual","Yes"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02020","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02090","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02122","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02130","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02170","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02198","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02100","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02105","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02110","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02195","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02220","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02230","No",,,"Individual","No"
"2022","AK","77963","HIOS","2021-09-30 01:01:10","AKS001","Pioneer","No","02275","No",,,"Individual","No"
"2022","AL","12538","HIOS","2021-06-14 23:22:54","ALS001","BEST Life Alabama","Yes",,,,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01001","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01003","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01005","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01007","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01009","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01011","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01013","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01015","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01017","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01019","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01021","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01025","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01027","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01029","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01031","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01033","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01035","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01037","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01039","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01041","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01043","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01045","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01047","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01049","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01051","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01053","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01055","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01057","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01059","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01061","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01063","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01065","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01067","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01069","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01071","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01073","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01075","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01077","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01079","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01081","No",,,"Individual","Yes"
"2022","AL","17540","HIOS","2021-06-12 01:01:28","ALS001","GLIC Indiv PPO On and Off Exchange","No","01083","No",,,"Individual","Yes"
